ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Media_ID,Part_Of_Speech,Original_Translation,Text_ID,Record_Number,Speaker_ID
ctovarmafl-565,yab,warë ta wë yawë ti,wa=rë	ta	wë-∅	yawë	ti,thus=EMP	?	kill-ACNNMLZ	LOC	HSY,so when he fired (auto),,,ctovarmafl-565,part	?	n	postp	part,así cuando disparó,ctovarmafl,565,mafl
ctovarmafl-566,yab,nope ti sëtase mërë,nope	ti	sëtase	mërë,good	HSY	***	?,was heard well (auto),,,ctovarmafl-566,adv	part	?	?,se oyó bien bien,ctovarmafl,566,mafl
ctovarmafl-567,yab,kwase neke ne ana sejtëri tëwï?,kwase	neke	ne	ana	sejtëri	tëwï,how	CNTR	INTS	1+3PRO	***	3PRO,What do we call that? (auto),,,ctovarmafl-567,part	part	part	pn	?	pn,!¿Cómo es que llamamos eso?,ctovarmafl,567,mafl
ctovarmafl-568,yab,"ën, kamere ka?",ën	kamere	ka,***	lightning	?,"ah, trueno? (auto)",,,ctovarmafl-568,?	n	?,"ah, trueno?",ctovarmafl,568,mafl
ctovarmafl-569,yab,"mmm, kamere",mmm	kamere,yes	lightning,"yes, thunder (auto)",,,ctovarmafl-569,intj	n,"sí, trueno",ctovarmafl,569,pape
ctovarmafl-570,yab,"ë'ë, kamere wëjka wëra ta, nope ti",ë'ë	kamere	wëjka-∅	wëra	ta	nope	ti,yes	lightning	fall-ACNNMLZ	like	?	good	HSY,"yes, like the crash of thunder, very good. (auto)",,,ctovarmafl-570,intj	n	n	postp	?	adv	part,"sí, como la caida de un trueno, buenísimo",ctovarmafl,570,mafl
ctovarmafl-571,yab,nope wëjkase ti ta,nope	wëjkase	ti	ta,good	?	HSY	?,fell well (auto),,,ctovarmafl-571,adv	?	part	?,cayó bien,ctovarmafl,571,mafl
ctovarmafl-572,yab,¡ taa %¡ warë sëtase nono pana parë,taa	wa=rë	sëtase	nono	pana	parë,***	thus=EMP	***	earth	?	also,taaa! was heard on the ground as well. (auto),,,,?	part	?	n	?	part,taaa! se escuchó por la tierra también,ctovarmafl,572,mafl
ctovarmafl-573,yab,tuna jwaka parë,tuna	jwaka	parë,water	ILL.AQ	also,also in the water (auto),,,ctovarmafl-573,n	postp	part,también en el agua,ctovarmafl,573,mafl
ctovarmafl-574,yab,¡ iiij %¡ ta ti,iiij	ta	ti,***	?	HSY,oy! dijo (auto),,,,?	?	part,uy! dijo,ctovarmafl,574,mafl
ctovarmafl-575,yab,"nope tarë tëwï, karakapusa, ta ta",nope	tarë	tëwï	karakapusa	ta-∅	ta,good	?	3PRO	***	say-IPFV	like,"that's a good shotgun,"" said (auto)",,,ctovarmafl-575,adv	?	pn	?	vt	part,"es buena esa escopeta, dijo",ctovarmafl,575,mafl
ctovarmafl-576,yab,"irëjpë ti, ta wejsapë",irëjpë	ti	ta	wej-sapë,then	HSY	?	COP-PFV,"later, he said (auto)",,,ctovarmafl-576,adv	part	?	vi,"después, dijo",ctovarmafl,576,mafl
ctovarmafl-577,yab,warë,wa=rë,thus=EMP,,,,ctovarmafl-577,part,,ctovarmafl,577,mafl
ctovarmafl-578,yab,"takom pe, ta ta",takom	pe	ta-∅	ta,***	?	say-IPFV	like,"again, he said (auto)",,,ctovarmafl-578,?	?	vt	part,"otra vez, dijo",ctovarmafl,578,mafl
ctovarmafl-579,yab,"nope ne wïrë itatojpe, ta ti ta",nope	ne	wïrë	itatojpe	ta-∅	ti	ta,good	INTS	1PRO	?	say-IPFV	HSY	like,to listen to it well (auto),,,ctovarmafl-579,adv	part	pn	?	vt	part	part,para escucharlo bien,ctovarmafl,579,mafl
ctovarmafl-580,yab,"ë'ë, wïrë wëtane se ta",ë'ë	wïrë	wë-tane	se	ta,yes	1PRO	kill-CNCS	EVAL	?,"yes, I will shoot (auto)",,,ctovarmafl-580,intj	pn	adv	part	?,"sí, voy a disparar",ctovarmafl,580,mafl
ctovarmafl-581,yab,"tawëse, tawarama, nope ma ti wejsaj ti ta",ta-wë-se	tawara=ma	nope	ma	ti	wejsaj	ti	ta,3P-kill-PST	too=RST	good	RST	HSY	?	HSY	?,"shot, it still went well (auto)",,,ctovarmafl-581,vt	adv	adv	part	part	?	part	?,"disparó, igual fue bien",ctovarmafl,581,mafl
ctovarmafl-582,yab,iriyawë ti warë,iriyawë	ti	wa=rë,then	HSY	thus=EMP,"Thus, at that time (auto)",,,ctovarmafl-582,adv	part	part,"así, en ese momento",ctovarmafl,582,mafl
ctovarmafl-583,yab,"mërë pataka yawë, ta ti",mërë	pataka	yawë	ta	ti,?	?	LOC	?	HSY,when you leave (auto),,,ctovarmafl-583,?	?	postp	?	part,cuando salgas,ctovarmafl,583,mafl
ctovarmafl-584,yab,"rui, ta ti",rui	ta	ti,older_brother	?	HSY,"older brother, said (auto)",,,ctovarmafl-584,n	?	part,"hermano mayor, dijo",ctovarmafl,584,mafl
ctovarmafl-585,yab,wïrë karakapusa pe tukë,wïrë	karakapusa	pe	tu-kë,1PRO	***	?	give-IMP,give me the shotgun to make it mine (auto),,,ctovarmafl-585,pn	?	?	vt,dame la escopeta para que sea mia,ctovarmafl,585,mafl
ctovarmafl-586,yab,"ejnë kamwiyajkari, ta ta",ejnë	kamwiyajkari	ta-∅	ta,1+2PRO	?	say-IPFV	like,"(inter)cambiemos, said (auto)",,,ctovarmafl-586,pn	?	vt	part,"(inter)cambiemos, dijo",ctovarmafl,586,mafl
ctovarmafl-587,yab,"wïrë kamwiyajkapojra, ta ta",wïrë	kamwiyajka-po-∅=jra	ta-∅	ta,1PRO	change-DES-IPFV=NEG	say-IPFV	like,"I don't want to change, he said (auto)",,,ctovarmafl-587,pn	vt	vt	part,"yo no quiero cambiar, dijo",ctovarmafl,587,mafl
ctovarmafl-588,yab,wïrë nairi rë seni tajj,wïrë	nairi	rë	seni	tajj,1PRO	?	EMP	PROX.INAN	***,this is mine (auto),,,ctovarmafl-588,pn	?	part	dem	?,este es mío,ctovarmafl,588,mafl
ctovarmafl-589,yab,"wïrë yamanijpë rë, mërë yamanijpë rë",wïrë	yamanijpë	rë	mërë	yamanijpë	rë,1PRO	?	EMP	?	?	EMP,"the one I made, the one you made (auto)",,,ctovarmafl-589,pn	?	part	?	?	part,"el que yo hice, el que tu hiciste",ctovarmafl,589,mafl
ctovarmafl-590,yab,"mërë nairi rë mërë, ta ti ta",mërë	nairi	rë	mërë	ta-∅	ti	ta,?	?	EMP	?	say-IPFV	HSY	like,"that's yours, he said (auto)",,,ctovarmafl-590,?	?	part	?	vt	part	part,"ese es suyo, dijo",ctovarmafl,590,mafl
ctovarmafl-591,yab,wïrë nairi seni,wïrë	nairi	seni,1PRO	?	PROX.INAN,this is the one I made it (auto),,,ctovarmafl-591,pn	?	dem,este es el que yo lo fabriqué,ctovarmafl,591,mafl
ctovarmafl-592,yab,mënai mërë,më-nai-∅	mërë,2-do-IPFV	?,that's from you (auto),,,ctovarmafl-592,vt	?,eso es de usted,ctovarmafl,592,mafl
ctovarmafl-593,yab,iriyawë mërë ti,iriyawë	mërë	ti,then	?	HSY,at that time that (auto),,,ctovarmafl-593,adv	?	part,en ese momento eso,ctovarmafl,593,mafl
ctovarmafl-594,yab,"warë iriyawë ma, tampase takinori irui yakërë",wa=rë	iriyawë	ma	tampase	t-akino-ri	i-rui-∅	y-akërë,thus=EMP	then	RST	?	3-younger_brother-PERT	3-older_brother-PERT	LK-with,at that moment the little brother got angry with his older brother (auto),,,ctovarmafl-594,part	adv	part	?	n	n	postp,en ese momento se enojó el hermanito con su hermano mayor,ctovarmafl,594,mafl
ctovarmafl-595,yab,warë iriyawë ti,wa=rë	iriyawë	ti,thus=EMP	then	HSY,that's how it was at the time (auto),,,ctovarmafl-595,part	adv	part,así fue en ese momento,ctovarmafl,595,mafl
ctovarmafl-596,yab,sëmpëpëjsejne mëtë,sëmpëpëjsejne	mëtë,***	?,they fought there (auto),,,ctovarmafl-596,?	?,se pelearon ahí,ctovarmafl,596,mafl
ctovarmafl-597,yab,"sëmpëpëjsejne, ë'ë",sëmpëpëjsejne	ë'ë,***	yes,"discussed, yes (auto)",,,ctovarmafl-597,?	intj,"discutieron, sí",ctovarmafl,597,mafl
ctovarmafl-598,yab,warë ojtojpajpë pïnika wejsapë mëtë,wa=rë	ojtojpajpë	pïnika	wejsapë	mëtë,thus=EMP	***	?	?	?,"so, they fought there will be (auto)",,,ctovarmafl-598,part	?	?	?	?,"así, pelearon ahí será",ctovarmafl,598,mafl
ctovarmafl-599,yab,"tayenekapo wejsapë mërë, irui karakapusari",tayenekapo	wejsapë	mërë	i-rui-∅	karakapusari,***	?	?	3-older_brother-PERT	***,"I wanted to take that away from him, his older brother's shotgun. (auto)",,,ctovarmafl-599,?	?	?	n	?,"le quería quitar eso, la escopeta de su hermano mayor",ctovarmafl,599,mafl
ctovarmafl-600,yab,ë'ë,ë'ë,yes,,,,ctovarmafl-600,intj,,ctovarmafl,600,mafl
ctovarmafl-601,yab,irëjpë ti ta,irëjpë	ti	ta,then	HSY	?,then (auto),,,ctovarmafl-601,adv	part	?,después,ctovarmafl,601,mafl
ctovarmafl-602,yab,"tane, tayarëse, ijtëse",tane	ta-yarë-se	ij-të-se,***	3P-bring-PST	3-go-PST,"however, he took it, he left (auto)",,,ctovarmafl-602,?	vt	vi,"sin embargo, lo llevó, se fue",ctovarmafl,602,mafl
ctovarmafl-603,yab,"warë, irui, inwapëkë rë ti ijtë wejsapë ti ta wa",wa=rë	i-rui-∅	i-nwa-pëkë	rë	ti	ijtë	wej-sapë	ti	ta	wa,thus=EMP	3-older_brother-PERT	3-glute-about	EMP	HSY	?	COP-PFV	HSY	?	thus,"so, his brother went after him (auto)",,,ctovarmafl-603,part	n	postp	part	part	?	vi	part	?	part,"así, su hermano se fue detrás de él",ctovarmafl,603,mafl
ctovarmafl-604,yab,"awata tawara chijpë ti, ta wejsaj papa pano ya,",awata	tawara	chijpë	ti	ta	wej-saj	papa	pano	ya,SURP	too	?	HSY	?	COP-PFV	father	FMR	?,"I don't know, that's just the way it is, my dad used to say, (auto)",,,ctovarmafl-604,intj	adv	?	part	?	vi	n	part	?,"no sé, por es es así, decía mi papá, ",ctovarmafl,604,mafl
ctovarmafl-605,yab,"warë ejnë yakino yakërë, yakono yakërë ne",wa=rë	ejnë	y-akino-∅	y-akërë	y-akono-∅	y-akërë	ne,thus=EMP	1+2PRO	LK-younger_brother-PERT	LK-with	LK-younger_sister_of_woman-PERT	LK-with	INTS,and so with our brothers and sisters (auto),,,ctovarmafl-605,part	pn	n	postp	n	postp	part,"así con nuestros hermanos, hermanas",ctovarmafl,605,mafl
ctovarmafl-606,yab,ejnë sëpëkë ejnë wejtojpe marë,ejnë	sëpëkë	ejnë	wejtojpe	marë,1+2PRO	***	1+2PRO	?	?,between us we are (auto),,,ctovarmafl-606,pn	?	pn	?	?,entre nosotros estamos,ctovarmafl,606,mafl
ctovarmafl-607,yab,sëmpëkatojpe,sëmpëkatojpe,***,to discuss (auto),,,ctovarmafl-607,?,para discutir,ctovarmafl,607,anfo
ctovarmafl-608,yab,ë'ë,ë'ë,yes,sí (auto),,,ctovarmafl-608,intj,sí,ctovarmafl,608,mafl
ctovarmafl-609,yab,sëntapëkë,sëntapëkë,***,,,,ctovarmafl-609,?,,ctovarmafl,609,pape
ctovarmafl-610,yab,ë'ë,ë'ë,yes,sí (auto),,,ctovarmafl-610,intj,sí,ctovarmafl,610,mafl
ctovarmafl-611,yab,tawara chijpë tajtoj taji papa pano,tawara	chijpë	taj-toj	taji	papa	pano,too	?	say-CIRC.NMLZ	FOC	father	FMR,this is how my father told the story of the deceased (auto),,,ctovarmafl-611,adv	?	n	part	n	part,así contaba el finado mi papá,ctovarmafl,611,mafl
ctovarmafl-612,yab,tëwï ma takï wïrë yewenkejra marë,tëwï	ma	takï	wïrë	y-ewenke=jra	marë,3PRO	RST	CNFRM	1PRO	LK-ignorant=NEG	?,that no more than I know (auto),,,ctovarmafl-612,pn	part	part	pn	postp	?,eso no más que yo sé,ctovarmafl,612,mafl
ctovarmafl-613,yab,"onono takï, onono parë tarojpë wejtane, wïrë yewenke",onono	takï	onono	parë	tarojpë	wejtane	wïrë	y-ewenke,another	CNFRM	another	also	?	?	1PRO	LK-ignorant,"although he said others, I don't know (auto)",,,ctovarmafl-613,n	part	n	part	?	?	pn	postp,"aunque dijo otros, yo no sé",ctovarmafl,613,mafl
ctovarmafl-614,yab,mëtë ma sënkari?,mëtë	ma	sënkari,?	RST	?,that's the end of it (auto),,,ctovarmafl-614,?	part	?,ahí no más se terminó,ctovarmafl,614,anfo
ctovarmafl-615,yab,ë'ë,ë'ë,yes,sí (auto),,,ctovarmafl-615,intj,sí,ctovarmafl,615,mafl
ctovarmafl-616,yab,entë ma sënkari,entë	ma	sënkari,here.LOC	RST	?,this is the end (auto),,,ctovarmafl-616,adv	part	?,aquí se acabó,ctovarmafl,616,mafl
ctotawirdi-1,yab,"tawara ma konta mare, tawaru chijpë ti kërë yawoton ti ta",tawara	ma	konta	mare	tawa-ru	chijpë	ti	kërë	y-awo-∅-ton	ti	ta,too	RST	***	?	nyctidromus_albicollis-PERT	?	HSY	?	LK-uncle-PERT-PL	HSY	?,"As well as what it counted, the aguaitacaminos was spirits said (auto)",,,,adv	part	?	?	n	?	part	?	n	part	?,"Así como lo que contaba, el aguaitacaminos era espíritus decían",ctotawirdi,1,irdi
ctotawirdi-2,yab,"wurijyamo wejsapë, tëwï ma, yawo pano, yakarama wejsapë wïrë pana",wurijyamo	wejsapë	tëwï	ma	yawo	pano	yakarama-∅	wej-sapë	wïrë	pana,woman	?	3PRO	RST	LOC	FMR	tell-IPFV	COP-PFV	1PRO	?,"she was a woman, the deceased told me my uncle (auto)",,,,n	?	pn	part	postp	part	vt	vi	pn	?,"era mujer, me contaba el finado mi tio",ctotawirdi,2,irdi
ctotawirdi-3,yab,yëmpëkajaraka onono wurijyamo,yëmpëkajaraka	onono	wurijyamo,***	another	?,another woman had insulted him (auto),,,,?	n	?,otra mujer lo había insultado,ctotawirdi,3,irdi
ctotawirdi-4,yab,muku yamï ta tëwï yanse ma,muku	yamï	ta	tëwï	yanse	ma,child	?	?	3PRO	?	RST,picked up a child (auto),,,,n	?	?	pn	?	part,recogió un niño,ctotawirdi,4,irdi
ctotawirdi-5,yab,ajpachi yaka ma tayamïrï,ajpachi	yaka	ma	ta-yamï-rï,undergrowth	ALL	RST	3P-pick_up-IPFV,!he picked it up in the bush no more (auto),,,,n	postp	part	vt,!lo recogió en el monte no más,ctotawirdi,5,irdi
ctotawirdi-6,yab,"tajne yakuri mukuru tamukomo, tawara tajne yamïrï",ta-jne	yakuri	muku-ru	tamukomo	tawara	ta-jne	yamïrï,3-PL	?	child-PERT	***	too	3-PL	?,"as the bride and groom of the picure's daughters, so he picked them up. (auto)",,,,pn	?	n	?	adv	pn	?,"![como a] los novios de las hijas del picure, así los recogió",ctotawirdi,6,irdi
ctotawirdi-7,yab,"tawara chipëkë, tayëmpëkase wejsapë",tawara	chipëkë	ta-yëmpëka-se	wej-sapë,too	***	3P-offend-PST	COP-PFV,that's why she was insulted (auto),,,,adv	?	vt	vi,por eso la insultaban,ctotawirdi,7,irdi
ctotawirdi-8,yab,asamo tï wejsapë pupuri pëkë,asamo	tï	wejsapë	pupuri	pëkë,?	***	?	?	about,I was crying for a pijiguao (auto),,,,?	?	?	?	postp,estaba llorando por un pijiguao,ctotawirdi,8,irdi
ctotawirdi-9,yab,pupuri inta,pupuri	inta,Bactris_gasipaes	?,is getting pijiguao (auto),,,,n	?,anda a buscar pijiguao,ctotawirdi,9,irdi
ctotawirdi-10,yab,"asanëpïjkë wejyaka inta, pupuri",asanëpïjkë	wejyaka	in-ta	pupuri,***	***	see-MOTIMP	Bactris_gasipaes,anda a buscar pijiguao donde está tu segunda mamá (auto),,,,?	?	vt	n,anda a buscar pijiguao donde está tu segunda mamá,ctotawirdi,10,irdi
ctotawirdi-11,yab,ta pïkë ijtëjpë ti,ta-∅	pïkë	ij-të-jpë	ti,say-ACNNMLZ	when	3-go-PST	HSY,when he said that he left (auto),,,,n	postp	vi	part,cuando dijo eso se fue,ctotawirdi,11,irdi
ctotawirdi-12,yab,"warë ijtë tasemejse, tëwï ya",wa=rë	ijtë	ta-semej-se	tëwï	ya,thus=EMP	?	3P-defend-PST	3PRO	ERG,so she went to petrify him (auto),,,,part	?	vt	pn	postp,así fue a mezquinarlo ella,ctotawirdi,12,irdi
ctotawirdi-13,yab,¿ mukupïjkë ya?,muku-pïjkë	ya,child-DIM	?,the child? (auto),,,,n	?,!¿la niña?,ctotawirdi,13,anpe
ctotawirdi-14,yab,¿ aaa?,aaa,ah,¿ah? (auto),,,,intj,¿ah?,ctotawirdi,14,irdi
ctotawirdi-15,yab,¿ wurijyamo ya?,wurijyamo	ya,woman	?,The woman? (auto),,,,n	?,!¿La mujer?,ctotawirdi,15,anpe
ctotawirdi-16,yab,yanëpïjkë ya tasemejse pupuri,yanë-pïjkë	ya	ta-semej-se	pupuri,mother-DIM	ERG	3P-defend-PST	Bactris_gasipaes,his mommy made a mess of the pijiguao (auto),,,,n	postp	vt	n,su mamá mezquinó el pijiguao,ctotawirdi,16,irdi
ctotawirdi-17,yab,tasemejse,ta-semej-se,3P-defend-PST,he made a pittance of (auto),,,,vt,lo mezquinó,ctotawirdi,17,irdi
ctotawirdi-18,yab,warë ijtëse,wa=rë	ij-të-se,thus=EMP	3-go-PST,so it went (auto),,,,part	vi,así se fue,ctotawirdi,18,irdi
ctotawirdi-19,yab,ijtëse mërë La Quesera warë ta,ij-të-se	mërë	la	quesera	wa=rë	ta,3-go-PST	?	***	***	thus=EMP	?,the distance went as from here to La Quesera (auto),,,,vi	?	?	?	part	?,se fue la distancia como de aquí a La Quesera,ctotawirdi,19,irdi
ctotawirdi-20,yab,"ë’ë, tampase, seyujpëjse tëwï ti ipachi yakërë",ë’ë	tampase	seyujpëjse	tëwï	ti	i-pachi-∅	y-akërë,***	?	***	3PRO	HSY	3-older_sister_of_woman-PERT	LK-with,"got angry, argued herself with sister (auto)",,,,?	?	?	pn	part	n	postp,"se enojó, discutieron ella misma con la hermana",ctotawirdi,20,irdi
ctotawirdi-21,yab,"inche mëtëja chijpë, kwa chipëkë inche mëtëja chijpë",inche	më-të-ja	chijpë	kwa	chipëkë	in-che	më-të-ja	chijpë,?	2-go-NEG	?	how	***	see-SUP	2-go-NEG	?,por qué no fuiste a ver (auto),,,,?	vi	?	part	?	adv	vi	?,por qué no fuiste a ver,ctotawirdi,21,irdi
ctotawirdi-22,yab,tëpëkë ati pëkë mëwejtane,tëpëkë	ati	pëkë	mëwejtane,?	?	about	***,"why, what were you doing (why you didn't go) (auto)",,,,?	?	postp	?,"por qué, que estabas haciendo (por qué no fuiste)",ctotawirdi,22,irdi
ctotawirdi-23,yab,"mukuke mëwejtane, kwa chipëkë mëtëja wejsapë",muku-ke	mëwejtane	kwa	chipëkë	më-të-ja	wejsapë,child-PROP	***	how	***	2-go-NEG	?,"although you have a child, why didn't you go (auto)",,,,adv	?	part	?	vi	?,"aunque tienes niño, por qué no fuiste",ctotawirdi,23,irdi
ctotawirdi-24,yab,mënï neke ne ijtësemï mëchipëkë,mënï	neke	ne	ijtësemï	mëchipëkë,DIST.INAN	CNTR	INTS	***	***,"""why you didn't think even though you have children."" (auto)",,,,dem	part	part	?	?,"""por qué tú no pensaste aunque tienes hijos""",ctotawirdi,24,irdi
ctotawirdi-25,yab,"aaa, wïrë mukuru uyujtotopo intane",aaa	wïrë	muku-ru	uyujtotopo	in-tane,ah	1PRO	child-PERT	***	see-CNCS,to provide food for my son (auto),,,,intj	pn	n	?	adv,para dar comida par mi hijo,ctotawirdi,25,irdi
ctotawirdi-26,yab,"taja mëwejtane, mërë takï wïrë rë",ta-ja	mëwejtane	mërë	takï	wïrë	rë,say-NEG	***	?	CNFRM	1PRO	EMP,"although you didn't say anything, that's mine (auto)",,,,vt	?	?	part	pn	part,"aunque no dijiste nada, eso es mío",ctotawirdi,26,irdi
ctotawirdi-27,yab,"wïrë okï pe, wïrë yamaneri, tase ti ta, tatemekïrï wejsapë",wïrë	okï	pe	wïrë	yamaneri	ta-se	ti	ta	ta-temekï-rï	wej-sapë,1PRO	?	?	1PRO	***	say-PST	HSY	like	3P-defend-IPFV	COP-PFV,"for my drink, what I do, so he said, he mesquinized it (auto)",,,,pn	?	?	pn	?	vt	part	part	vt	vi,"para mi bebida, lo que yo hago, así lo dijo, lo mesquinaba",ctotawirdi,27,irdi
ctotawirdi-28,yab,warë tëpëkë sëmpëkase,wa=rë	tëpëkë	sëmpëkase,thus=EMP	?	***,that's why they argued among themselves (auto),,,,part	?	?,por eso entre ellos discutieron,ctotawirdi,28,irdi
ctotawirdi-29,yab,takërë,t-akërë,3-with,con el (auto),,,,postp,con él,ctotawirdi,29,irdi
ctotawirdi-30,yab,warë irëjpë,wa=rë	irëjpë,thus=EMP	then,so after (auto),,,,part	adv,así después,ctotawirdi,30,irdi
ctotawirdi-31,yab,tawara ma sukase mërëjna tunajne mare,tawara	ma	sukase	mërëjna	tuna-jne	mare,too	RST	all	***	water-PL	?,all pipes are the same there (auto),,,,adv	part	adv	?	n	?,todos los caños son iguales allá,ctotawirdi,31,irdi
ctotawirdi-32,yab,tajne waimukontomo,ta-jne	waimukontomo,3-PL	?,so they said (auto),,,,pn	?,así contaron,ctotawirdi,32,irdi
ctotawirdi-33,yab,"mërë wa chipëkë tëwïjpë rë poropëtijpë ti mërë, mëchiyakom pïjkë",mërë	wa	chipëkë	tëwï-jpë	rë	poropëtijpë	ti	mërë	më-chiyakom-∅	pïjkë,?	thus	***	3PRO-PST	EMP	***	HSY	?	2-friend-PERT	DIM,"so, of that same one that happened, with your friends (auto)",,,,?	part	?	pn	part	?	part	?	n	part,"por eso, de ese mismo que pasó, con tus amigos",ctotawirdi,33,irdi
ctotawirdi-34,yab,"aaa, ¿ asanëpïjkë wejyaka intompïjkë taja ka mërë?",aaa	asanëpïjkë	wejyaka	intompïjkë	ta-ja	ka	mërë,ah	***	***	***	say-NEG	?	?,"ah! granddaughter/second mom, ### you don't say that either? (auto)",,,,intj	?	?	?	vt	?	?,"ah! nieta/segunda mamá, ### ¿usted tampoco dice así?",ctotawirdi,34,irdi
ctotawirdi-35,yab,"tanapï inta, ejnë ëkïrï, tëwïjna, asanëpïjkë, tamu, umukutomo yeneperi",tanapï	in-ta	ejnë	ëkï-rï	tëwïjna	asanëpïjkë	t-amu-∅	u-muku-∅-tomo	yeneperi,***	see-MOTIMP	1+2PRO	chicha-PERT	there.ANA	***	3-ripeness-PERT	1-child-PERT-PL	?,"go and get tanapo, for our drink, ###, send the children (auto)",,,,?	vt	pn	n	adv	?	n	n	?,"ve a buscar tanapo, para nuestra bebida, ###, mandar a los niños",ctotawirdi,35,irdi
ctotawirdi-37,yab,"tawara ma ti ta, ësëpëkë chi wara",tawara	ma	ti	ta-∅	ësë-pëkë	chi-∅	wara,too	RST	HSY	say-ACNNMLZ	DETRZ-about	COP-ACNNMLZ	?,"so they said, there were quarrels between them (auto)",,,,adv	part	part	n	postp	n	?,"así decían, entre ellos había pleitos",ctotawirdi,37,irdi
ctotawirdi-38,yab,"warë ësëmpëkapëjsejne, warë ijtëpëjsejne",wa=rë	ësëmpëkapëjsejne	wa=rë	ij-të-pëj-se-jne,thus=EMP	***	thus=EMP	3-go-PLUR-PST-PL,"so between them, so they discussed, so they left (auto)",,,,part	?	part	vi,"así entre ellos, así discutieron, así se fueron",ctotawirdi,38,irdi
ctotawirdi-39,yab,"mukutomo, mïjna,",muku-tomo	mïjna,child-PL	there.ALL,the children there (auto),,,,n	adv,los niños pa'llá,ctotawirdi,39,irdi
ctotawirdi-40,yab,yanëpïjkë wejyaka,yanë-pïjkë	wejyaka,mother-DIM	***,where is the mother (auto),,,,n	?,donde esta la mamá,ctotawirdi,40,irdi
ctotawirdi-41,yab,"inta mëtë, pupuri ijmojkasapë mui yawë",in-ta	mëtë	pupuri	ijmojkasapë	mui	yawë,see-MOTIMP	?	Bactris_gasipaes	?	***	LOC,bring the pijiguao cooked inside the shell (from cucurito) (auto),,,,vt	?	n	?	?	postp,trae el pijiguao cocinado dentro de la concha (de cucurito),ctotawirdi,41,irdi
ctotawirdi-42,yab,"enirë takï"" ponchera""",enirë	takï	ponchera,?	CNFRM	***,today we say ponchera (auto),,,,?	part	?,hoy se dice ponchera,ctotawirdi,42,irdi
ctotawirdi-43,yab,"mui yawë, wasai muiriri",mui	yawë	wasai	muiriri,***	LOC	attalea_maripa	***,!inside the cucurito shell (auto),,,,?	postp	n	?,!dentro de la concha del cucurito,ctotawirdi,43,irdi
ctotawirdi-44,yab,"tëwï yawë, kunësapë",tëwï	yawë	kunësapë,3PRO	LOC	?,inside that cooked (auto),,,,pn	postp	?,adentro de eso cocido,ctotawirdi,44,irdi
ctotawirdi-45,yab,pupuri kunësapë,pupuri	kunësapë,Bactris_gasipaes	?,pijiguao cooked (auto),,,,n	?,pijiguao cocido,ctotawirdi,45,irdi
ctotawirdi-46,yab,inche ijtëjpë,inche	ij-të-jpë,?	3-go-PST,went to look for him (auto),,,,?	vi,fue a buscarlo,ctotawirdi,46,irdi
ctotawirdi-47,yab,inche ijtëse,inche	ij-të-se,?	3-go-PST,went to look for him (auto),,,,?	vi,fue a buscarlo,ctotawirdi,47,irdi
ctotawirdi-48,yab,¡ enje %¡ asamo ti wejsapë muku pïjkë,enje	asamo-∅	ti	wej-sapë	muku	pïjkë,***	cry-IPFV	HSY	COP-PFV	child	DIM,waa! the poor little boy/boy was crying. (auto),,,,?	vi	part	vi	n	part,waa! estaba llorando el pobre niño/niñito,ctotawirdi,48,irdi
ctotawirdi-49,yab, tawara rë,tawara	rë,too	EMP,,,,,adv	part,,ctotawirdi,49,anpe
ctotawirdi-50,yab,¿ kwase ka tanejse ka?,kwase	ka	ta-nej-se	ka,how	?	3P-bring-PST	?,how/why did you bring it? (auto),,,,part	?	vt	?,¿cómo/por qué lo trajo?,ctotawirdi,50,irdi
ctotawirdi-51,yab,"¿ tanejse ka wejsapë mërë mëokïrï mare, mëyuru?",ta-nej-se	ka	wej-sapë	mërë	mëokïrï	mare	më-y-u-ru,3P-bring-PST	Q	COP-PFV	?	***	?	2-LK-starchy_food-PERT,did you bring your yucuta plus your food? (auto),,,,vt	part	vi	?	?	?	n,¿trajo tu yucuta más tu comida?,ctotawirdi,51,irdi
ctotawirdi-52,yab,"makë, ta ta, wïrë inaka tatupojra wejsapë makëpïjkë ya, ta ti",makë	ta-∅	ta	wïrë	inaka	ta-tu-po-∅=jra	wej-sapë	makëpïjkë	ya	ta	ti,mom	say-IPFV	like	1PRO	***	3P-give-DES-IPFV=NEG	COP-PFV	?	ERG	?	HSY,"mom, he said, he didn't want to give me my second mom. (auto)",,,,n	vt	part	pn	?	vt	vi	?	postp	?	part,"mamá, dijo, a mi no me quiso dar mi segunda mamá",ctotawirdi,52,irdi
ctotawirdi-53,yab,asamo ti wejsapë,asamo-∅	ti	wej-sapë,cry-IPFV	HSY	COP-PFV,was crying (auto),,,,vi	part	vi,estaba llorando,ctotawirdi,53,irdi
ctotawirdi-54,yab,"warë asamo wejsapë, warë ijtëse",wa=rë	asamo-∅	wej-sapë	wa=rë	ij-të-se,thus=EMP	cry-IPFV	COP-PFV	thus=EMP	3-go-PST,cried and left (auto),,,,part	vi	vi	part	vi,lloró y se fue,ctotawirdi,54,irdi
ctotawirdi-55,yab,¿ kwa chipëkë mërë tuja wejsapë?,kwa	chipëkë	mërë	tu-ja	wejsapë,how	***	?	give-NEG	?,Why didn't you hit it? (auto),,,,part	?	?	vt	?,¿Por qué no le diste?,ctotawirdi,55,irdi
